locus	baseMean	log2FoldChange_37C	lfcSE	stat	pvalue_37C	padj_37C	gene_name	gene_discription	raw_locus
PROKKA_00087_sense	337.875499866668	0.920066606517393	0.249834245309802	3.68270813065071	0.00023076932168307	0.02292565412695	tssA1_1	TssA1	PROKKA_00087
PROKKA_00088_sense	239.544727580794	1.00685049280792	0.269102596937148	3.7415116177533	0.000182916720029614	0.0194608559026101	tssB1_1	TssB1	PROKKA_00088
PROKKA_00089_sense	758.307590816322	1.11443220902116	0.249276310663596	4.47067034189668	7.7974810074509e-06	0.00170526577699058	tssC1	TssC1	PROKKA_00089
PROKKA_00090_igtop	44.1378278819132	1.46963699621666	0.371269655478836	3.95840859744175	7.54508039912569e-05	0.009138833535741	hcp1_1	Hcp1	PROKKA_00090
PROKKA_00684_sense	165.490387571091	1.34981142031624	0.303950755692559	4.44088851577508	8.95882013755457e-06	0.00185617323786656	n/a	hypothetical protein	PROKKA_00684
PROKKA_00697_antis	132.992106116815	1.63137517359764	0.375755825275306	4.34158318743929	1.41459699920352e-05	0.00259002841272775	fusA1	elongation factor G	PROKKA_00697
PROKKA_00700_antis	88.1621147545712	1.52758079467137	0.375407653217962	4.06912534035222	4.71899571766506e-05	0.00635328185743176	rplC	50S ribosomal protein L3	PROKKA_00700
PROKKA_00705_antis	32.6325995438322	1.62588101821744	0.441161629379655	3.68545428690998	0.000228295057850218	0.02292565412695	rplV	50S ribosomal protein L22	PROKKA_00705
PROKKA_00720_antis	50.684717979572	1.40801557382011	0.406303571655774	3.46542750801365	0.000529389223468944	0.0445637495042199	secY	secretion protein SecY	PROKKA_00720
PROKKA_00821_sense	171.123421511623	1.07603775185262	0.303381515633838	3.54681381825296	0.000389920043182599	0.0352855229882368	n/a	hypothetical protein	PROKKA_00821
PROKKA_01665_sense	225.015888947963	-0.888027491651884	0.247302704034337	-3.5908523326481	0.000329598344965506	0.0305285619989815	flgA	flagellar basal body P-ring biosynthesis protein FlgA	PROKKA_01665
PROKKA_01754_sense	41057.9924947398	-1.07677592926674	0.259519168032786	-4.14911907058328	3.33757182604272e-05	0.0049401503119555	n/a	cspA	PROKKA_01754
PROKKA_01756_igbot	40156.7561331545	-1.10616666589252	0.262106377278549	-4.22029664969563	2.43981050684968e-05	0.00392012818784236	n/a	SMR multidrug efflux transporter	PROKKA_01756
PROKKA_01964_sense	156.430979636392	1.8143089509034	0.255293877295768	7.10674682104282	1.18810090779638e-12	1.03932427189788e-09	pelA	PelA	PROKKA_01964
PROKKA_01965_sense	136.314039646839	1.68213714304486	0.273291685236565	6.15509813841858	7.50310187351192e-10	4.54399392693533e-07	pelB	PelB	PROKKA_01965
PROKKA_01967_sense	20.1952544001564	2.53404206719825	0.540979890645563	4.68417054130113	2.8109589831854e-06	0.000737689335820621	pelD	PelD	PROKKA_01967
PROKKA_01968_sense	33.6845172297027	1.55339663137876	0.403521135936354	3.8496041298411	0.000118308880024749	0.0133063687490693	pelE	PelE	PROKKA_01968
PROKKA_01970_sense	82.3853997517924	1.75354639367847	0.324439076760159	5.40485570107441	6.48605877847144e-08	2.55323703814528e-05	pelG	PelG	PROKKA_01970
PROKKA_02106_antis	117.395547625984	1.0426257281105	0.294310334412122	3.5426065829225	0.00039619328334628	0.0354245267152993	n/a	hypothetical protein	PROKKA_02106
PROKKA_02384_antis	274.926379907744	1.48530200449797	0.380404053392344	3.90453779672545	9.4405637621124e-05	0.0111891783167724	infC	translation initiation factor IF-3	PROKKA_02384
PROKKA_02737_antis	120.044743416009	1.88671660661771	0.420430777132404	4.48757966647037	7.20368780624153e-06	0.00162041811710113	n/a	hypothetical protein	PROKKA_02737
PROKKA_02737_igbot	35.0834552510734	1.55168442995109	0.442334643376671	3.50794235356725	0.000451586892660378	0.0395038178435017	n/a	hypothetical protein	PROKKA_02737
PROKKA_02737_igtop	1222.375921748	0.896167989958986	0.215396831243387	4.16054398194169	3.1749046530333e-05	0.00480692775640984	n/a	hypothetical protein	PROKKA_02737
PROKKA_02868_sense	33.7545347445526	-1.59042944400717	0.407545626263673	-3.90245739744043	9.52210018066492e-05	0.0111891783167724	cdrB_2	cyclic diguanylate-regulated TPS partner B CdrB	PROKKA_02868
PROKKA_02870_igbot	43.6394183761592	1.78328309531332	0.420556377571171	4.24029497688818	2.23226244643123e-05	0.00366137546682356	n/a	transposase-like p;rotein	PROKKA_02870
PROKKA_03575_sense	27.3675723385628	1.96135440888919	0.473862051686181	4.13908309793947	3.48696640566416e-05	0.00499143391123525	n/a	hypothetical protein	PROKKA_03575
PROKKA_04336_sense	385.056292740221	-1.11724803445088	0.235156325054861	-4.75108647062854	2.02326581532463e-06	0.000568898991573242	n/a	signal transduction histidine kinase	PROKKA_04336
PROKKA_04341_sense	2677.4881109661	-0.866247809832405	0.216495239579893	-4.00123259760052	6.30133780955187e-05	0.00787467183723839	fliC	flagellin type B	PROKKA_04341
PROKKA_04487_antis	108.819134786824	-0.973128286285575	0.28092061120617	-3.46406866376703	0.000532070678698929	0.0445637495042199	n/a	hypothetical protein	PROKKA_04487
PROKKA_04488_sense	43.9854952207135	-1.45960184094293	0.404817224944529	-3.60558234927612	0.000311453703614021	0.0291913691494427	n/a	hypothetical protein	PROKKA_04488
PROKKA_04784_antis	172.626118624156	1.3481584315165	0.267701922129879	5.03604315124202	4.75253466891592e-07	0.000155902939368229	n/a	nucleoid-associated protein ndpA	PROKKA_04784
PROKKA_04785_antis	41.7434660087543	1.28614002014333	0.363338589575345	3.53978370876188	0.000400455084168886	0.0354245267152993	n/a	hypothetical protein	PROKKA_04785
PROKKA_04785_igtop	42.0760205272365	1.6406358902202	0.370100944084149	4.43294165131115	9.29560289619625e-06	0.00187652004107059	n/a	hypothetical protein	PROKKA_04785
PROKKA_04785_sense	1892.42029692734	0.85905304688481	0.232027494207869	3.70237609046107	0.000213589683636996	0.0221262049904483	n/a	hypothetical protein	PROKKA_04785
PROKKA_04963_antis	37.950068710235	1.76907633448314	0.436160416057359	4.05602220961401	4.99155152106787e-05	0.00644237461071596	groEL_1	GroEL protein	PROKKA_04963
PROKKA_05129_sense	89.3560727791397	-1.64175669436694	0.322990400258397	-5.0829891323504	3.71540967274335e-07	0.000127180088493515	n/a	hypothetical protein	PROKKA_05129
PROKKA_05131_sense	84.4225313258138	-1.48616186673701	0.334654583421494	-4.44088304885162	8.95904776310548e-06	0.00185617323786656	n/a	hypothetical protein	PROKKA_05131
PROKKA_05132_sense	35.0438973983352	-1.4615921017227	0.401478067028633	-3.64052789369056	0.000272079628251748	0.0261229623564148	n/a	hypothetical protein	PROKKA_05132
PROKKA_05134_sense	163.778922406389	-1.53056255445329	0.296977592680493	-5.15379810523267	2.55262764342836e-07	9.13492610759612e-05	n/a	hypothetical protein	PROKKA_05134
PROKKA_05136_sense	93.0913186285911	-1.32542188039487	0.340013125243512	-3.89814916540537	9.69307048446586e-05	0.0112225799888529	dnaB_2	replicative DNA helicase	PROKKA_05136
PROKKA_05143_sense	42.7130579018266	-1.58077805682694	0.379078459453203	-4.17005508333844	3.04526025237078e-05	0.00479506679338302	n/a	nucleoid-associated protein NdpA	PROKKA_05143
PROKKA_05145_sense	154.906124566569	-0.935080493668647	0.254076868151271	-3.68030549365841	0.000232954697085736	0.02292565412695	n/a	transcriptional regulator	PROKKA_05145
PROKKA_05150_igtop	20.0539524823232	-2.3789503820062	0.583114096012938	-4.07973396333985	4.5087270812621e-05	0.00622758040539939	n/a	integrating conjugative element protein	PROKKA_05150
PROKKA_05150_sense	41.946841357808	-1.79224332002793	0.372008613816005	-4.81774683022359	1.45188427299025e-06	0.000423358699305638	n/a	integrating conjugative element protein	PROKKA_05150
PROKKA_05151_sense	81.8175917632216	-1.51851261265402	0.328268402897482	-4.62582630326517	3.73107891835911e-06	0.000947573687878752	n/a	Putative integrase regulator R protein	PROKKA_05151
PROKKA_05152_igtop	35.3333138041826	-1.72250440448771	0.449399896546472	-3.83289897867075	0.000126641969164009	0.0140429890595527	n/a	putative antirepressor	PROKKA_05152
PROKKA_05152_sense	144.835260734588	-1.45773225285159	0.330303159388694	-4.41331610496695	1.01799190792362e-05	0.0019082500693054	n/a	putative antirepressor	PROKKA_05152
PROKKA_05153_sense	141.882734570945	-1.31916207494016	0.298692077633271	-4.41646154592627	1.00329739498518e-05	0.0019082500693054	n/a	single-stranded DNA-binding protein	PROKKA_05153
PROKKA_05159_sense	50.8664884304732	-1.54649871340442	0.364163024248568	-4.24672086518267	2.16921935317384e-05	0.00363367318458248	topA_3	DNA topoisomerase I	PROKKA_05159
PROKKA_05162_igtop	44.2636459519709	-1.55442829639759	0.385498734449728	-4.03225265736975	5.52447465907395e-05	0.00701519177272406	n/a	hypothetical protein	PROKKA_05162
PROKKA_05167_sense	48.0683085202574	-1.52625952312868	0.37315576258246	-4.0901405690912	4.31111825848457e-05	0.00606097036590161	n/a	type IVB pilus formation outer membrane protein	PROKKA_05167
PROKKA_05171_sense	26.3601309940229	-1.87395234901213	0.482517947481634	-3.88369460409232	0.000102881116974865	0.0117388845499002	xcpS_4	general secretion pathway protein F	PROKKA_05171
PROKKA_05172_sense	89.0060052237071	-1.49350476504158	0.337638144986371	-4.42338872908411	9.71646851448875e-06	0.0019082500693054	n/a	type IV B pilus protein	PROKKA_05172
PROKKA_05176_igtop	12502.42724647	-2.32740406584762	0.311709126941239	-7.46658940880601	8.23000600601635e-14	1.07991395475611e-10	n/a	radC	PROKKA_05176
PROKKA_05177_sense	124.314365547297	-1.74647418369643	0.404444217661234	-4.31820782058824	1.57301282237353e-05	0.00275207332234374	n/a	hypothetical protein	PROKKA_05177
PROKKA_05178_igtop	104.193222609768	-1.79460434782932	0.380726180282293	-4.71363526011975	2.43336068532801e-06	0.00066061547157198	n/a	hypothetical protein	PROKKA_05178
PROKKA_05178_sense	255.810222903206	-1.08152470215448	0.265923391381742	-4.06705365983361	4.76112828132191e-05	0.00635328185743176	n/a	hypothetical protein	PROKKA_05178
PROKKA_05180_sense	5366.97587671123	-2.02092292614369	0.253449747495806	-7.97366320586741	1.54038961371499e-15	6.06374371438906e-12	n/a	radC	PROKKA_05180
PROKKA_05181_igtop	3142.38326765955	-2.00882763861751	0.258864288165343	-7.76015746650392	8.48240009038043e-15	1.66954839778913e-11	n/a	hypothetical protein	PROKKA_05181
PROKKA_05181_sense	1785.47455488391	-1.89120578948124	0.348639163539281	-5.42453627493332	5.81051896411258e-08	2.51315854651327e-05	n/a	hypothetical protein	PROKKA_05181
PROKKA_05182_igtop	252.143119329031	-1.93018256771481	0.356327814324729	-5.41687314354807	6.06503396211763e-08	2.51315854651327e-05	n/a	hypothetical protein	PROKKA_05182
PROKKA_05182_sense	651.380699723493	-1.92594725968411	0.314371242486076	-6.12634681357477	8.99196953164004e-10	5.05669829447157e-07	n/a	hypothetical protein	PROKKA_05182
PROKKA_05183_igtop	161.849215069134	-1.80907414176857	0.394517969749615	-4.58553039527381	4.52835387569372e-06	0.00108035545646475	n/a	hypothetical protein	PROKKA_05183
PROKKA_05183_sense	3746.15324968115	-1.94220106870009	0.344819792290866	-5.63251040723841	1.77605124096844e-08	8.22520671773207e-06	n/a	hypothetical protein	PROKKA_05183
PROKKA_05184_igtop	3584.61604133866	-2.07309001899259	0.310174879748153	-6.68361674122623	2.33115990169963e-11	1.66847471873465e-08	n/a	ABC-type amino acid transport/signal transduction systems periplasmic component/domain	PROKKA_05184
